question_text,option_a,option_b,option_c,correct_answer,difficulty
"What is a 'duck' in cricket?","A type of delivery","Getting out for zero","A fielding position","B","easy"
"What is a 'TKO' in boxing?","Total Knockout","Technical Knockout","Timeout Knockout","B","medium"
"What is a 'knockout' in boxing?","Winning by points","Opponent can't continue after count","Referee stops fight","B","easy"
"How many points to win a tiebreak?","5","7","10","B","medium"
"What is the individual medley in swimming?","All 4 strokes","2 strokes","3 strokes","A","medium"
"Which country has won the most Rugby World Cups?","New Zealand","South Africa","England","B","medium"
"What is the 'Octagon' in UFC?","A move","The fighting ring","A weight class","B","easy"
"What is the women's 100m world record?","10.49 seconds","10.65 seconds","10.72 seconds","A","hard"
"Which country has won the most Olympic gold medals?","China","USA","Russia","B","medium"
"Which team has won the most Stanley Cups?","Toronto Maple Leafs","Montreal Canadiens","Boston Bruins","B","medium"
"Who holds the 100m world record?","Tyson Gay","Usain Bolt","Yohan Blake","B","easy"
"Where did the ancient Olympics originate?","Rome","Greece","Egypt","B","easy"
"Who is Floyd Mayweather Jr?","Heavyweight champion","Undefeated welterweight champion","MMA fighter","B","medium"
"What is the standard length of a sprint track?","100m","200m","400m","C","medium"
"What color jersey does the Tour de France leader wear?","Green","Yellow","Red","B","easy"
"What is a 'breakaway' in cycling?","A crash","Riders ahead of main group","A rest stop","B","medium"
"What is a 'home run' in baseball?","Hitting ball out of park","Running to home plate","A catch","A","easy"
"What is the 'haka'?","A rugby move","New Zealand war dance","A type of kick","B","easy"
"Who has won the most Tour de France titles?","Eddy Merckx","Miguel Indurain","Chris Froome","A","hard"
"What is 'par' in golf?","The expected number of strokes","A type of club","A penalty","A","easy"
"Who has scored the most international cricket runs?","Ricky Ponting","Sachin Tendulkar","Brian Lara","B","medium"
"What is a 'birdie' in golf?","One over par","One under par","Two under par","B","easy"
"How many NBA championships did Michael Jordan win?","4","5","6","C","medium"
"How many players are on a cricket team?","10","11","12","B","easy"
"Where were the 2020 Olympics held?","Beijing","Tokyo","Paris","B","easy"
"What is a 'peloton' in cycling?","A type of bike","Main group of riders","A race stage","B","medium"
"Who won the 2022 F1 World Championship?","Lewis Hamilton","Max Verstappen","Charles Leclerc","B","easy"
"Who won Wimbledon 2023 men's singles?","Novak Djokovic","Carlos Alcaraz","Daniil Medvedev","B","medium"
"What is a 'triple-double' in basketball?","Three 3-pointers","Double figures in 3 stats","30 points","B","medium"
"What is Wayne Gretzky's nickname?","The King","The Great One","The Legend","B","medium"
"What country did Eddy Merckx represent?","France","Belgium","Netherlands","B","hard"
"Who is Tiger Woods?","Tennis player","Professional golfer","Boxer","B","easy"
"What is a 'grand slam' in baseball?","3 runs","4 runs on bases loaded home run","5 runs","B","medium"
"Which team is known as the 'All Blacks'?","Australia","New Zealand","South Africa","B","easy"
"Who won the 2023 Rugby World Cup?","New Zealand","South Africa","France","B","easy"
"What does NBA stand for?","National Basketball Association","North American Basketball Association","National Ball Association","A","easy"
"Who is Wayne Gretzky?","Basketball legend","Hockey legend","Football legend","B","easy"
"What is the Vuelta a Espana?","Spanish football cup","Spanish cycling race","Spanish tennis tournament","B","medium"
"Who has won the most Wimbledon titles?","Novak Djokovic","Roger Federer","Pete Sampras","B","medium"
"In what year were the first modern Olympics?","1896","1900","1888","A","medium"
"What color is the Ferrari F1 car?","Blue","Red","Silver","B","easy"
"How many innings are in a baseball game?","7","9","11","B","easy"
"Who is known as 'The Little Master' in cricket?","Sachin Tendulkar","Brian Lara","Virat Kohli","A","medium"
"Who is Conor McGregor?","Boxer","MMA fighter","Wrestler","B","easy"
"How long is an Olympic swimming pool?","25 meters","50 meters","100 meters","B","medium"
"What is a 'deuce' in tennis?","40-40","30-30","15-15","A","medium"
"Who is known as 'The King of Clay'?","Roger Federer","Rafael Nadal","Novak Djokovic","B","easy"
"What is the Six Nations?","Football tournament","Rugby tournament","Cricket series","B","easy"
"Who is the fastest man in history?","Usain Bolt","Carl Lewis","Tyson Gay","A","easy"
"How long is an NBA quarter?","10 minutes","12 minutes","15 minutes","B","medium"
"Who has won the most Grand Slam titles in men's tennis?","Rafael Nadal","Novak Djokovic","Roger Federer","B","easy"
"What is the Tour de France?","Running race","Cycling race","Swimming competition","B","easy"
"Who is considered the greatest boxer of all time?","Mike Tyson","Muhammad Ali","Floyd Mayweather","B","medium"
"What is the Masters Tournament?","Tennis major","Golf major","Chess tournament","B","easy"
"How many players are on a rugby union team?","13","15","11","B","easy"
"What is the Paralympic Games?","Youth Olympics","Games for athletes with disabilities","Winter Olympics","B","easy"
"What is the NHL?","National Hockey League","Northern Hockey League","National Hockey League","A","easy"
"What is the triple jump?","Three running jumps","Hop, step and jump","High jump variation","B","medium"
"Which country hosts the US Open?","UK","USA","Australia","B","easy"
"Who is the most decorated Olympian of all time?","Usain Bolt","Michael Phelps","Carl Lewis","B","easy"
"What is the Olympic motto?","Faster, Higher, Stronger","Unity and Peace","Excellence Always","A","medium"
"How many strikes for a strikeout?","2","3","4","B","easy"
"What is a 'love' in tennis scoring?","15 points","Zero points","30 points","B","easy"
"How many points is a drop goal worth?","2","3","5","B","medium"
"Which city are the Warriors based in?","San Francisco","Oakland","Los Angeles","A","medium"
"Who is Chris Froome?","Sprinter","Cyclist","Swimmer","B","easy"
"Where will the 2024 Olympics be held?","Los Angeles","Paris","Brisbane","B","easy"
"What is the 100m world record?","9.48 seconds","9.58 seconds","9.69 seconds","B","medium"
"Which country does Usain Bolt represent?","USA","Jamaica","Trinidad","B","easy"
"Who is the most successful F1 driver of all time?","Michael Schumacher","Lewis Hamilton","Ayrton Senna","B","easy"
"What is the highest individual score in Test cricket?","334","400","501","B","hard"
"How many balls are in a cricket over?","5","6","8","B","easy"
"How many major championships are in golf?","3","4","5","B","medium"
"What is a 'relay race'?","Solo race","Team passing baton race","Obstacle race","B","easy"
"How many rounds are in a professional boxing match?","10","12","15","B","medium"
"Who did Tyson Fury defeat to become heavyweight champion?","Anthony Joshua","Deontay Wilder","Andy Ruiz Jr","B","medium"
"What is the decathlon?","5 events","10 events","15 events","B","medium"
"How long is an NHL game period?","15 minutes","20 minutes","25 minutes","B","medium"
"What is a 'hat trick' in hockey?","2 goals","3 goals","4 goals","B","easy"
"What is a 'rear naked choke'?","A punch","A submission hold","A kick","B","medium"
"What position does the 'pitcher' play?","Throws the ball","Catches the ball","Hits the ball","A","easy"
"How many swimming strokes are there in competitive swimming?","3","4","5","B","medium"
"Who is the world record holder in long jump?","Carl Lewis","Mike Powell","Bob Beamon","B","hard"
"How many rounds in a UFC title fight?","3","5","7","B","medium"
"Who is the UFC's all-time winningest fighter?","Jon Jones","Amanda Nunes","Jim Miller","C","hard"
"What is the Ashes series between?","England vs India","England vs Australia","Australia vs India","B","medium"
"Who is Katie Ledecky?","Sprinter","Swimmer","Gymnast","B","easy"
"What country is Max Verstappen from?","Belgium","Netherlands","Germany","B","easy"
"Which country dominates Olympic swimming?","Australia","USA","China","B","medium"
"What is the fastest swimming stroke?","Breaststroke","Freestyle/Front crawl","Backstroke","B","medium"
"Who holds the women's 100m world record?","Shelly-Ann Fraser-Pryce","Florence Griffith-Joyner","Elaine Thompson","B","hard"
"Which team has won the most World Series?","Boston Red Sox","New York Yankees","Los Angeles Dodgers","B","medium"
"What is the breaststroke?","Swimming face down with frog kick","Swimming on back","Freestyle swimming","A","medium"
"How many runners in a 4x100m relay team?","3","4","5","B","easy"
"What is an 'eagle' in golf?","One under par","Two under par","Three under par","B","medium"
"Who is Khabib Nurmagomedov?","Boxer","MMA fighter","Wrestler","B","easy"
"Which female player has the most Grand Slam titles?","Serena Williams","Margaret Court","Steffi Graf","B","hard"
"Who won the 1930 FIFA World Cup?","Uruguay","Brazil","Germany","A","hard"
"Who won the 1934 FIFA World Cup?","Italy","Brazil","Germany","A","hard"
"Who won the 1938 FIFA World Cup?","Italy","Brazil","Germany","A","hard"
"Who won the 1950 FIFA World Cup?","Uruguay","Brazil","Germany","A","hard"
"Who won the 1954 FIFA World Cup?","Germany","Brazil","Italy","A","hard"
"Who won the 1958 FIFA World Cup?","Brazil","Germany","Italy","A","hard"
"Who won the 1962 FIFA World Cup?","Brazil","Germany","Italy","A","hard"
"Who won the 1966 FIFA World Cup?","England","Brazil","Germany","A","hard"
"Who won the 1970 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"Who won the 1974 FIFA World Cup?","Germany","Brazil","Italy","A","medium"
"Who won the 1978 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"Who won the 1982 FIFA World Cup?","Italy","Brazil","Germany","A","medium"
"Who won the 1986 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"Who won the 1990 FIFA World Cup?","Germany","Brazil","Italy","A","medium"
"Who won the 1994 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"Who won the 1998 FIFA World Cup?","France","Brazil","Germany","A","medium"
"Who won the 2002 FIFA World Cup?","Brazil","Germany","Italy","A","medium"
"Who won the 2006 FIFA World Cup?","Italy","Brazil","Germany","A","medium"
"Who won the 2010 FIFA World Cup?","Spain","Brazil","Germany","A","medium"
"Who won the 2014 FIFA World Cup?","Germany","Brazil","Italy","A","medium"
"Who won the 2018 FIFA World Cup?","France","Brazil","Germany","A","medium"
"Who won the 2022 FIFA World Cup?","Argentina","Brazil","Germany","A","medium"
"What is the home stadium of Arsenal?","Emirates Stadium","Stamford Bridge","Anfield","A","medium"
"What is Arsenal's nickname?","The Gunners","The Blues","The Reds","A","medium"
"What is the home stadium of Chelsea?","Stamford Bridge","Emirates Stadium","Anfield","A","medium"
"What is Chelsea's nickname?","The Blues","The Gunners","The Reds","A","medium"
"What is the home stadium of Liverpool?","Anfield","Emirates Stadium","Stamford Bridge","A","medium"
"What is Liverpool's nickname?","The Reds","The Gunners","The Blues","A","medium"
"What is the home stadium of Manchester City?","Etihad Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is Manchester City's nickname?","The Citizens","The Gunners","The Blues","A","medium"
"What is the home stadium of Manchester United?","Old Trafford","Emirates Stadium","Stamford Bridge","A","medium"
"What is Manchester United's nickname?","The Red Devils","The Gunners","The Blues","A","medium"
"What is the home stadium of Tottenham?","Tottenham Hotspur Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is Tottenham's nickname?","Spurs","The Gunners","The Blues","A","medium"
"What is the home stadium of Newcastle?","St James' Park","Emirates Stadium","Stamford Bridge","A","medium"
"What is Newcastle's nickname?","The Magpies","The Gunners","The Blues","A","medium"
"What is the home stadium of Aston Villa?","Villa Park","Emirates Stadium","Stamford Bridge","A","medium"
"What is Aston Villa's nickname?","The Villans","The Gunners","The Blues","A","medium"
"What is the home stadium of West Ham?","London Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is West Ham's nickname?","The Hammers","The Gunners","The Blues","A","medium"
"What is the home stadium of Brighton?","Amex Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is Brighton's nickname?","The Seagulls","The Gunners","The Blues","A","medium"
"What is the home stadium of Everton?","Goodison Park","Emirates Stadium","Stamford Bridge","A","medium"
"What is Everton's nickname?","The Toffees","The Gunners","The Blues","A","medium"
"What is the home stadium of Leicester City?","King Power Stadium","Emirates Stadium","Stamford Bridge","A","medium"
"What is Leicester City's nickname?","The Foxes","The Gunners","The Blues","A","medium"
"What is the home stadium of Wolves?","Molineux","Emirates Stadium","Stamford Bridge","A","medium"
"What is Wolves's nickname?","Wolves","The Gunners","The Blues","A","medium"
"What is the home stadium of Crystal Palace?","Selhurst Park","Emirates Stadium","Stamford Bridge","A","medium"
"What is Crystal Palace's nickname?","The Eagles","The Gunners","The Blues","A","medium"
"What is the home stadium of Fulham?","Craven Cottage","Emirates Stadium","Stamford Bridge","A","medium"
"What is Fulham's nickname?","The Cottagers","The Gunners","The Blues","A","medium"
"Which country does Lionel Messi represent?","Argentina","Brazil","France","A","easy"
"What position does Lionel Messi play?","Forward","Midfielder","Defender","A","easy"
"Which country does Cristiano Ronaldo represent?","Portugal","Argentina","Brazil","A","easy"
"What position does Cristiano Ronaldo play?","Forward","Midfielder","Defender","A","easy"
"Which country does Kylian Mbappe represent?","France","Argentina","Brazil","A","easy"
"What position does Kylian Mbappe play?","Forward","Midfielder","Defender","A","easy"
"Which country does Erling Haaland represent?","Norway","Argentina","Brazil","A","easy"
"What position does Erling Haaland play?","Striker","Forward","Midfielder","A","easy"
"Which country does Kevin De Bruyne represent?","Belgium","Argentina","Brazil","A","easy"
"What position does Kevin De Bruyne play?","Midfielder","Forward","Defender","A","easy"
"Which country does Mohamed Salah represent?","Egypt","Argentina","Brazil","A","easy"
"What position does Mohamed Salah play?","Forward","Midfielder","Defender","A","easy"
"Which country does Vinicius Jr represent?","Brazil","Argentina","France","A","easy"
"What position does Vinicius Jr play?","Winger","Forward","Midfielder","A","easy"
"Which country does Jude Bellingham represent?","England","Argentina","Brazil","A","easy"
"What position does Jude Bellingham play?","Midfielder","Forward","Defender","A","easy"
"Which country does Bukayo Saka represent?","England","Argentina","Brazil","A","easy"
"What position does Bukayo Saka play?","Winger","Forward","Midfielder","A","easy"
"Which country does Harry Kane represent?","England","Argentina","Brazil","A","easy"
"What position does Harry Kane play?","Striker","Forward","Midfielder","A","easy"
"Which country does Robert Lewandowski represent?","Poland","Argentina","Brazil","A","easy"
"What position does Robert Lewandowski play?","Striker","Forward","Midfielder","A","easy"
"Which country does Neymar represent?","Brazil","Argentina","France","A","easy"
"What position does Neymar play?","Forward","Midfielder","Defender","A","easy"
"Which country does Luka Modric represent?","Croatia","Argentina","Brazil","A","easy"
"What position does Luka Modric play?","Midfielder","Forward","Defender","A","easy"
"Which country does Karim Benzema represent?","France","Argentina","Brazil","A","easy"
"What position does Karim Benzema play?","Striker","Forward","Midfielder","A","easy"
"Which country does Sadio Mane represent?","Senegal","Argentina","Brazil","A","easy"
"What position does Sadio Mane play?","Forward","Midfielder","Defender","A","easy"
"Which country does Son Heung-min represent?","South Korea","Argentina","Brazil","A","easy"
"What position does Son Heung-min play?","Forward","Midfielder","Defender","A","easy"
"Which country does Virgil van Dijk represent?","Netherlands","Argentina","Brazil","A","easy"
"What position does Virgil van Dijk play?","Defender","Forward","Midfielder","A","easy"
"Which country does Thibaut Courtois represent?","Belgium","Argentina","Brazil","A","easy"
"What position does Thibaut Courtois play?","Goalkeeper","Forward","Midfielder","A","easy"
"Which country does Alisson represent?","Brazil","Argentina","France","A","easy"
"What position does Alisson play?","Goalkeeper","Forward","Midfielder","A","easy"
"Which country does Rodri represent?","Spain","Argentina","Brazil","A","easy"
"What position does Rodri play?","Midfielder","Forward","Defender","A","easy"
"What is the home stadium of Real Madrid?","Santiago Bernabeu","Camp Nou","Wanda Metropolitano","A","medium"
"What is the home stadium of Barcelona?","Camp Nou","Santiago Bernabeu","Wanda Metropolitano","A","medium"
"What is the home stadium of Atletico Madrid?","Wanda Metropolitano","Santiago Bernabeu","Camp Nou","A","medium"
"What is the home stadium of Sevilla?","Ramon Sanchez Pizjuan","Santiago Bernabeu","Camp Nou","A","medium"
"What is the home stadium of Real Sociedad?","Anoeta","Santiago Bernabeu","Camp Nou","A","medium"
"What is the home stadium of Real Betis?","Benito Villamarin","Santiago Bernabeu","Camp Nou","A","medium"
"What is the home stadium of Villarreal?","Estadio de la Ceramica","Santiago Bernabeu","Camp Nou","A","medium"
"What is the home stadium of Athletic Bilbao?","San Mames","Santiago Bernabeu","Camp Nou","A","medium"
"In which city is Juventus based?","Turin","Milan","Rome","A","medium"
"In which city is AC Milan based?","Milan","Turin","Rome","A","medium"
"In which city is Inter Milan based?","Milan","Turin","Rome","A","medium"
"In which city is Napoli based?","Naples","Milan","Rome","A","medium"
"In which city is Roma based?","Rome","Milan","Naples","A","medium"
"In which city is Lazio based?","Rome","Milan","Naples","A","medium"
"In which city is Fiorentina based?","Florence","Milan","Rome","A","medium"
"In which city is Atalanta based?","Bergamo","Milan","Rome","A","medium"
"In which German city is Bayern Munich based?","Munich","Dortmund","Leipzig","A","medium"
"In which German city is Borussia Dortmund based?","Dortmund","Munich","Leipzig","A","medium"
"In which German city is RB Leipzig based?","Leipzig","Munich","Dortmund","A","medium"
"In which German city is Bayer Leverkusen based?","Leverkusen","Munich","Dortmund","A","medium"
"In which German city is Eintracht Frankfurt based?","Frankfurt","Munich","Dortmund","A","medium"
"In which German city is Wolfsburg based?","Wolfsburg","Munich","Dortmund","A","medium"
"In which German city is Borussia Monchengladbach based?","Monchengladbach","Munich","Dortmund","A","medium"
"Who won the 2023 UEFA Champions League?","Manchester City","Real Madrid","Barcelona","A","medium"
"Who won the 2022 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Who won the 2021 UEFA Champions League?","Chelsea","Real Madrid","Barcelona","A","medium"
"Who won the 2020 UEFA Champions League?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"Who won the 2019 UEFA Champions League?","Liverpool","Real Madrid","Barcelona","A","medium"
"Who won the 2018 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Who won the 2017 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Who won the 2016 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Who won the 2015 UEFA Champions League?","Barcelona","Real Madrid","Bayern Munich","A","medium"
"Who won the 2014 UEFA Champions League?","Real Madrid","Barcelona","Bayern Munich","A","medium"
"Who won the 2013 UEFA Champions League?","Bayern Munich","Real Madrid","Barcelona","A","medium"
"Who won the 2012 UEFA Champions League?","Chelsea","Real Madrid","Barcelona","A","medium"
"Who won the 2011 UEFA Champions League?","Barcelona","Real Madrid","Bayern Munich","A","medium"
"Who won the 2010 UEFA Champions League?","Inter Milan","Real Madrid","Barcelona","A","medium"
"What nationality is manager Pep Guardiola?","Spain","Germany","Italy","A","medium"
"What nationality is manager Jurgen Klopp?","Germany","Spain","Italy","A","medium"
"What nationality is manager Carlo Ancelotti?","Italy","Spain","Germany","A","medium"
"What nationality is manager Mikel Arteta?","Spain","Germany","Italy","A","medium"
"What nationality is manager Erik ten Hag?","Netherlands","Spain","Germany","A","medium"
"What nationality is manager Xavi?","Spain","Germany","Italy","A","medium"
"What nationality is manager Diego Simeone?","Argentina","Spain","Germany","A","medium"
"What nationality is manager Thomas Tuchel?","Germany","Spain","Italy","A","medium"
"What nationality is manager Luis Enrique?","Spain","Germany","Italy","A","medium"
"What nationality is manager Unai Emery?","Spain","Germany","Italy","A","medium"
"Which African country does Victor Osimhen represent?","Nigeria","Egypt","Senegal","A","medium"
"Which African country does Mohamed Salah represent?","Egypt","Nigeria","Senegal","A","medium"
"Which African country does Sadio Mane represent?","Senegal","Nigeria","Egypt","A","medium"
"Which African country does Riyad Mahrez represent?","Algeria","Nigeria","Egypt","A","medium"
"Which African country does Achraf Hakimi represent?","Morocco","Nigeria","Egypt","A","medium"
"Which African country does Hakim Ziyech represent?","Morocco","Nigeria","Egypt","A","medium"
"Which African country does Andre Onana represent?","Cameroon","Nigeria","Egypt","A","medium"
"Which African country does Nicolas Pepe represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Which African country does Wilfried Zaha represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Which African country does Thomas Partey represent?","Ghana","Nigeria","Egypt","A","medium"
"Which African country does Naby Keita represent?","Guinea","Nigeria","Egypt","A","medium"
"Which African country does Samuel Chukwueze represent?","Nigeria","Egypt","Senegal","A","medium"
"Which African country does Kalidou Koulibaly represent?","Senegal","Nigeria","Egypt","A","medium"
"Which African country does Pierre-Emerick Aubameyang represent?","Gabon","Nigeria","Egypt","A","medium"
"Which African country does Eric Bailly represent?","Ivory Coast","Nigeria","Egypt","A","medium"
"Who won the 2023 Africa Cup of Nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"Who won the 2021 Africa Cup of Nations?","Senegal","Nigeria","Egypt","A","medium"
"Who won the 2019 Africa Cup of Nations?","Algeria","Nigeria","Egypt","A","medium"
"Who won the 2017 Africa Cup of Nations?","Cameroon","Nigeria","Egypt","A","medium"
"Who won the 2015 Africa Cup of Nations?","Ivory Coast","Nigeria","Egypt","A","medium"
"Who won the 2013 Africa Cup of Nations?","Nigeria","Egypt","Senegal","A","medium"
"Who won the 2012 Africa Cup of Nations?","Zambia","Nigeria","Egypt","A","medium"
"Who won the 2010 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"Who won the 2008 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"Who won the 2006 Africa Cup of Nations?","Egypt","Nigeria","Senegal","A","medium"
"Which Nigerian club won back-to-back CAF Champions League titles in 2003 and 2004?","Enyimba","Kano Pillars","Rangers","A","medium"
"Who is Nigeria's all-time top scorer in World Cup history?","Rashidi Yekini","Yakubu Aiyegbeni","Jay-Jay Okocha","A","medium"
"In which year did Nigeria win their first Olympic gold medal in football?","1992","1996","2000","B","medium"
"Which Nigerian player is nicknamed 'The Entertainer'?","Nwankwo Kanu","Jay-Jay Okocha","Victor Moses","B","medium"
"How many times has Nigeria won the Africa Cup of Nations?","2","3","4","B","medium"
"Which Nigerian scored at the 1998 World Cup against Spain?","Sunday Oliseh","Finidi George","Daniel Amokachi","A","medium"
"Who coached Nigeria to their 2013 AFCON victory?","Gernot Rohr","Stephen Keshi","Samson Siasia","B","medium"
"Which Nigerian goalkeeper held the record for most international caps?","Vincent Enyeama","Peter Rufai","Carl Ikeme","A","medium"
"Which Nigerian club plays at the Teslim Balogun Stadium?","Shooting Stars","First Bank FC","Stationary Stores","A","medium"
"Who was the captain of Nigeria's 1994 World Cup squad?","Rashidi Yekini","Stephen Keshi","Jay-Jay Okocha","B","medium"
"Which Nigerian won the African Footballer of the Year in 1996?","Jay-Jay Okocha","Nwankwo Kanu","Daniel Amokachi","B","medium"
"What is the capacity of the MKO Abiola National Stadium?","40,000","60,000","80,000","B","medium"
"Which Nigerian scored in the 2010 World Cup against Greece?","Yakubu Aiyegbeni","Kalu Uche","Peter Odemwingie","B","medium"
"Who is Nigeria's most expensive player transfer ever?","Victor Osimhen","Alex Iwobi","Kelechi Iheanacho","A","medium"
"Which city hosts the Nigeria Professional Football League headquarters?","Lagos","Abuja","Ibadan","B","medium"
"How many goals did Erling Haaland score in his debut Premier League season?","36","32","28","A","easy"
"Which player holds the record for most goals in a single Premier League season?","Erling Haaland","Mohamed Salah","Alan Shearer","A","easy"
"Who won the 2023 Ballon d'Or?","Kylian Mbappe","Erling Haaland","Lionel Messi","C","easy"
"How many Ballon d'Or awards has Lionel Messi won?","6","7","8","C","easy"
"Which club did Zinedine Zidane manage to three consecutive Champions League titles?","Barcelona","Real Madrid","Bayern Munich","B","easy"
"Who is the Premier League's all-time top scorer?","Wayne Rooney","Alan Shearer","Harry Kane","B","easy"
"How many Premier League titles has Manchester City won under Pep Guardiola?","4","5","6","C","easy"
"Which English club completed the treble in 1998-99?","Liverpool","Manchester United","Arsenal","B","easy"
"Who scored the 'Aguero moment' goal in 2012?","David Silva","Yaya Toure","Sergio Aguero","C","easy"
"Which goalkeeper has the most clean sheets in Premier League history?","David Seaman","Petr Cech","Peter Schmeichel","B","easy"
"What is the traditional number worn by a center-forward?","7","9","10","B","easy"
"How long is a football match including normal time?","80 minutes","90 minutes","100 minutes","B","easy"
"What is the maximum number of substitutions allowed in a Premier League match?","3","5","4","B","easy"
"What does VAR stand for?","Video Analysis Review","Video Assistant Referee","Virtual Assistance Replay","B","easy"
"How many red cards result in a ban in the Premier League?","1 game minimum","2 games minimum","3 games minimum","A","easy"
"What is the distance from the penalty spot to the goal line?","10 meters","11 meters","12 meters","C","easy"
"How wide is a standard football goal?","7.32 meters","8 meters","9 meters","A","easy"
"What is the height of a standard football goal?","2.44 meters","2.5 meters","3 meters","A","easy"
"How long is half-time in professional football?","10 minutes","15 minutes","20 minutes","B","easy"
"What color is shown for a direct red card?","Yellow","Red","Orange","B","easy"
"Who scored the most goals in a single World Cup tournament?","Gerd Muller","Just Fontaine","Ronaldo","B","hard"
"How many goals did Just Fontaine score in the 1958 World Cup?","11","13","15","B","hard"
"Which country has appeared in the most World Cup finals?","Brazil","Germany","Italy","B","hard"
"Who is the all-time top scorer in World Cup history?","Ronaldo","Miroslav Klose","Gerd Muller","B","hard"
"How many goals did Miroslav Klose score in World Cup history?","14","16","18","B","hard"
"Which player has appeared in the most World Cup matches?","Miroslav Klose","Lothar Matthaus","Lionel Messi","B","hard"
"Who scored the fastest goal in World Cup history?","Vaclav Masek","Hakan Sukur","Ernst Lehner","B","hard"
"How quickly was the fastest World Cup goal scored?","8 seconds","10.8 seconds","12 seconds","B","hard"
"Which country has won the most World Cup penalty shootouts?","Germany","Argentina","Brazil","A","hard"
"Who won the Golden Ball at the 2022 World Cup?","Kylian Mbappe","Lionel Messi","Luka Modric","B","hard"
"What was the transfer fee for Neymar from Barcelona to PSG?","180 million euros","222 million euros","200 million euros","B","hard"
"Which club sold Kylian Mbappe to PSG?","Lyon","Monaco","Marseille","B","hard"
"How much did Manchester City pay for Jack Grealish?","80 million pounds","100 million pounds","90 million pounds","B","hard"
"What was Cristiano Ronaldo's transfer fee from Man United to Real Madrid?","70 million pounds","80 million pounds","90 million pounds","B","hard"
"Which club sold Gareth Bale to Real Madrid?","Southampton","Tottenham","Manchester United","B","hard"
"How much did Chelsea pay for Enzo Fernandez?","100 million pounds","107 million pounds","115 million pounds","B","hard"
"Which club sold Declan Rice to Arsenal?","Chelsea","West Ham","Manchester City","B","hard"
"What was Paul Pogba's transfer fee to Manchester United in 2016?","79 million pounds","89 million pounds","99 million pounds","B","hard"
"What number did David Beckham wear at Manchester United?","7","10","23","A","easy"
"What number does Lionel Messi typically wear?","7","10","9","B","easy"
"What number did Cristiano Ronaldo wear at Real Madrid?","7","9","10","A","easy"
"What shirt number did Thierry Henry wear at Arsenal?","9","12","14","C","easy"
"What number does Kylian Mbappe wear?","7","10","9","A","easy"
"What is the traditional goalkeeper jersey number?","1","12","25","A","easy"
"What number did Zinedine Zidane wear at Real Madrid?","5","10","7","A","easy"
"What number did Andrea Pirlo wear at Juventus?","10","21","6","B","easy"
"In football, what is crystal palace's nickname?","The Eagles","The Gunners","The Blues","A","medium"
"In football, which club sold declan rice to arsenal?","Chelsea","West Ham","Manchester City","B","hard"
"Can you tell: Which country does Cristiano Ronaldo represent?","Portugal","Argentina","Brazil","A","easy"
"Football trivia: Which country does Virgil van Dijk represent?","Netherlands","Argentina","Brazil","A","easy"
"In football, which country does lionel messi represent?","Argentina","Brazil","France","A","easy"
"Can you tell: In which German city is Borussia Monchengladbach based?","Monchengladbach","Munich","Dortmund","A","medium"
"Football trivia: What is Liverpool's nickname?","The Reds","The Gunners","The Blues","A","medium"
"Football trivia: What is the home stadium of Chelsea?","Stamford Bridge","Emirates Stadium","Anfield","A","medium"
"In football, what is chelsea's nickname?","The Blues","The Gunners","The Reds","A","medium"
"Can you tell: What does VAR stand for?","Video Analysis Review","Video Assistant Referee","Virtual Assistance Replay","B","easy"
"In football, who was the captain of nigeria's 1994 world cup squad?","Rashidi Yekini","Stephen Keshi","Jay-Jay Okocha","B","medium"
"In football, who is nigeria's all-time top scorer in world cup history?","Rashidi Yekini","Yakubu Aiyegbeni","Jay-Jay Okocha","A","medium"
"Football trivia: What is Brighton's nickname?","The Seagulls","The Gunners","The Blues","A","medium"
"In football, what is the home stadium of liverpool?","Anfield","Emirates Stadium","Stamford Bridge","A","medium"
"In football, which player has appeared in the most world cup matches?","Miroslav Klose","Lothar Matthaus","Lionel Messi","B","hard"
"Can you tell: Which African country does Mohamed Salah represent?","Egypt","Nigeria","Senegal","A","medium"
"Football trivia: Which country does Robert Lewandowski represent?","Poland","Argentina","Brazil","A","easy"
"In football, what does var stand for?","Video Analysis Review","Video Assistant Referee","Virtual Assistance Replay","B","easy"
