questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Who scored the winning goal in the 2010 World Cup final?,David Villa,Andres Iniesta,Xavi,B,medium,Ta ló gba góólù tó jáwé olúborí ní ìparí ìdíje World Cup ti ọdún 2010?,David Villa,Andres Iniesta,Xavi,Wa ya zura kwallon da ta yi nasara a wasan karshe na gasar cin kofin duniya ta 2010?,David Villa,Andres Iniesta,Xavi,Ònye nyere goolu mmeri na asọmpi ikpeazụ nke iko mba ụwa nke afọ 2010?,David Villa,Andres Iniesta,Xavi
Which club does Jamal Musiala currently play for?,Bayern Munich,Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Jamal Musiala ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Bayern Munich,Chelsea,Manchester United,Wace kungiya Jamal Musiala ke bugawa a halin yanzu?,Bayern Munich,Chelsea,Manchester United,Kedụ klọb Jamal Musiala na-egwuri egwu ugbu a?,Bayern Munich,Chelsea,Manchester United
In which year did Argentina win their first World Cup?,1978,1986,1966,A,medium,Ní ọdún wo ni Argentina gba ife-ẹyẹ agbaye àkọ́kọ́ wọn?,1978,1986,1966,A wace shekara ce Argentina ta lashe gasar cin kofin duniya ta farko?,1978,1986,1966,N'afọ ole ka Ajentina meriri iko mba ụwa mbụ ha?,1978,1986,1966
Who is Nigeria's current all-time leading goalscorer?,Rashidi Yekini,Segun Odegbami,Victor Osimhen,A,medium,Ta ni agbabọọlu agbabọọlu to gbajugbaja julọ ni Naijiria lọwọlọwọ?,Rashidi Yekini,Segun Odegbami,Victor Osimhen,Wanene gwarzon ɗan wasan da ya fi zura ƙwallo a tarihin Najeriya a yanzu?,Rashidi Yekini,Segun Odegbami,Victor Osimhen,Ònye bụ onye kacha enye goolu na Naịjirịa ugbua?,Rashidi Yekini,Segun Odegbami,Victor Osimhen
Who is Serie A's all-time top scorer?,Francesco Totti,Silvio Piola,Giuseppe Meazza,B,hard,Ta ni agbabọọlu to ga julọ ni Serie A?,Francesco Totti,Silvio Piola,Giuseppe Meazza,Wanene gwarzon ɗan wasa mafi yawan zura kwallaye a gasar Serie A?,Francesco Totti,Silvio Piola,Giuseppe Meazza,Ònye bụ onye kacha enye goolu na Serie A?,Francesco Totti,Silvio Piola,Giuseppe Meazza
Which country does Bukayo Saka represent internationally?,England,France,Spain,A,easy,Orílẹ̀-èdè wo ni Bukayo Saka dúró fún kárí ayé?,England,France,Spain,Wace ƙasa ce Bukayo Saka ke wakilta a duniya?,England,France,Spain,Kedụ mba Bukayo Saka na-anọchite anya mba ụwa?,England,France,Spain
Which team did Manchester United beat in the 2008 Champions League final?,Barcelona,Chelsea,Bayern Munich,B,hard,Ẹgbẹ́ wo ni Manchester United ṣẹ́gun ní ìparí Champions League ti ọdún 2008?,Barcelona,Chelsea,Bayern Munich,Wace ƙungiya ce Manchester United ta doke a wasan ƙarshe na gasar zakarun Turai ta 2008?,Barcelona,Chelsea,Bayern Munich,Kedụ otu egwuregwu Manchester United meriri na asọmpi ikpeazụ nke Champions League nke afọ 2008?,Barcelona,Chelsea,Bayern Munich
Which club does Gavi currently play for?,Barcelona,Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Gavi ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Barcelona,Chelsea,Manchester United,Wace ƙungiya ce Gavi ke bugawa wasa a halin yanzu?,Barcelona,Chelsea,Manchester United,Kedụ klọb Gavi na-egwuri egwu ugbu a?,Barcelona,Chelsea,Manchester United
Which club does Unai Emery currently or recently manage?,Aston Villa,Arsenal,Tottenham,A,easy,Ẹgbẹ́ wo ni Unai Emery ń ṣàkóso lọ́wọ́lọ́wọ́ tàbí láìpẹ́ yìí?,Aston Villa,Arsenal,Tottenham,Wace ƙungiya Unai Emery ke jagoranta a halin yanzu ko kwanan nan?,Aston Villa,Arsenal,Tottenham,Kedụ klọb Unai Emery na-achịkwa ugbu a maọbụ n'oge na-adịbeghị anya?,Aston Villa,Arsenal,Tottenham
How many Champions League goals did Raul score?,71,65,58,A,hard,Àwọn góólù mélòó ni Raul gba ní Champions League?,71,65,58,Kwallaye nawa Raul ya ci a gasar zakarun Turai?,71,65,58,Golu ole ka Raul nyere na Champions League?,71,65,58
Who is Ghana's all-time top scorer?,Asamoah Gyan,Abedi Pele,Michael Essien,A,medium,Ta ni agbabọọlu to ga julọ ni Ghana?,Asamoah Gyan,Abedi Pele,Michael Essien,Wanene ɗan wasan Ghana mafi yawan zura kwallaye a tarihi?,Asamoah Gyan,Abedi Pele,Michael Essien,Ònye bụ onye kacha enye goolu n'egwuregwu bọọlụ na mba Ghana?,Asamoah Gyan,Abedi Pele,Michael Essien
Who won the 2022 World Cup Golden Glove?,Hugo Lloris,Emiliano Martinez,Dominik Livakovic,B,medium,Ta ló gba ife góòlù ti ìdíje àgbáyé ti ọdún 2022?,Hugo Lloris,Emiliano Martinez,Dominik Livakovic,Wa ya lashe kyautar Zinare ta Kofin Duniya ta 2022?,Hugo Lloris,Emiliano Martinez,Dominik Livakovic,Ònye meriri iko mba ụwa nke afọ 2022 nke a kpọrọ Golden Glove?,Hugo Lloris,Emiliano Martinez,Dominik Livakovic
Which Premier League club is Gareth Bale most associated with?,Tottenham,Arsenal,Chelsea,A,easy,Ẹgbẹ́ Premier League wo ni Gareth Bale ti ṣe àfihàn jùlọ?,Tottenham,Arsenal,Chelsea,Wace ƙungiyar Premier League ce Gareth Bale ya fi sha'awarta?,Tottenham,Arsenal,Chelsea,Kedụ otu egwuregwu Premier League kacha nwee njikọ na ya na Gareth Bale?,Tottenham,Arsenal,Chelsea
Which Premier League club is Patrick Vieira most associated with?,Arsenal,Chelsea,Manchester United,A,easy,Ẹgbẹ́ Premier League wo ni Patrick Vieira ti ṣe àfihàn jùlọ?,Arsenal,Chelsea,Manchester United,Wace ƙungiyar Premier League ce Patrick Vieira ya fi sha'awarta?,Arsenal,Chelsea,Manchester United,Kedụ otu egwuregwu Premier League kacha amasị Patrick Vieira?,Arsenal,Chelsea,Manchester United
Which country hosted the 1934 FIFA World Cup?,Italy,France,Brazil,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1934?,Italy,France,Brazil,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1934?,Italy,France,Brazil,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1934?,Italy,France,Brazil
Who scored a hat-trick in the 2017 El Clasico at the Bernabeu?,Cristiano Ronaldo,Lionel Messi,Luis Suarez,B,medium,Ta ni o gba hat-trick ni El Clasico ti ọdun 2017 ni Bernabeu?,Cristiano Ronaldo,Lionel Messi,Luis Suarez,Wa ya zura kwallaye uku a El Clasico na 2017 a Bernabeu?,Cristiano Ronaldo,Lionel Messi,Luis Suarez,Ònye nyere hat-trick na El Clasico nke afọ 2017 na Bernabeu?,Cristiano Ronaldo,Lionel Messi,Luis Suarez
Which Premier League club is Wayne Rooney most associated with?,Manchester United,Liverpool,Manchester City,A,easy,Ẹgbẹ́ Premier League wo ni Wayne Rooney ti ṣe àjọṣepọ̀ rẹ̀ jùlọ?,Manchester United,Liverpool,Manchester City,Wace ƙungiyar Premier League ce Wayne Rooney ya fi sha'awarta?,Manchester United,Liverpool,Manchester City,Kedụ otu egwuregwu Premier League kacha amasị Wayne Rooney?,Manchester United,Liverpool,Manchester City
Which country did Franz Beckenbauer represent?,Austria,Germany,Netherlands,B,medium,Orílẹ̀-èdè wo ni Franz Beckenbauer dúró fún?,Austria,Germany,Netherlands,Wace ƙasa Franz Beckenbauer ya wakilta?,Austria,Germany,Netherlands,Olee mba Franz Beckenbauer nọchitere anya ya?,Austria,Germany,Netherlands
Which Premier League club is Frank Lampard most associated with?,Chelsea,Liverpool,Manchester City,A,easy,Ẹgbẹ́ Premier League wo ni Frank Lampard ti ṣe àjọṣepọ̀ jùlọ pẹ̀lú?,Chelsea,Liverpool,Manchester City,Wane kulob ne Frank Lampard ya fi sha'awar shiga gasar Premier?,Chelsea,Liverpool,Manchester City,Kedụ otu egwuregwu Premier League kacha amasị Frank Lampard?,Chelsea,Liverpool,Manchester City
How many Champions League finals has Atletico Madrid lost?,2,3,4,B,hard,Iye awọn ipari Champions League melo ni Atletico Madrid ti padanu?,2,3,4,Nawa Atletico Madrid ta sha kashi a wasan karshe na gasar zakarun Turai?,2,3,4,Kedụ ugboro ole Atletico Madrid furu efu n'asọmpi ikpeazụ nke Champions League?,2,3,4
What shirt number did Thierry Henry wear at Arsenal?,9,12,14,C,easy,Nọ́mbà aṣọ wo ni Thierry Henry wọ̀ ní Arsenal?,9,12,14,Wace lamba ce Thierry Henry ya saka a Arsenal?,9,12,14,Kedụ nọmba uwe elu Thierry Henry yi na Arsenal?,9,12,14
Which club does Jude Bellingham currently play for?,Real Madrid,Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Jude Bellingham ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Real Madrid,Chelsea,Manchester United,Wace kungiya Jude Bellingham ke bugawa a halin yanzu?,Real Madrid,Chelsea,Manchester United,Kedụ klọb Jude Bellingham na-egwuri egwu ugbu a?,Real Madrid,Chelsea,Manchester United
Which club won the Premier League in the 2019-20 season?,Manchester City,Liverpool,Chelsea,B,easy,Ẹgbẹ́ wo ló gba Premier League ní àsìkò ọdún 2019-20?,Manchester City,Liverpool,Chelsea,Wace ƙungiya ce ta lashe gasar Premier a kakar wasa ta 2019-20?,Manchester City,Liverpool,Chelsea,Kedụ klọb meriri Premier League n'oge 2019-20?,Manchester City,Liverpool,Chelsea
Which club is known as 'I Rossoneri'?,Inter Milan,AC Milan,AS Roma,B,easy,Ẹgbẹ́ wo ni a mọ̀ sí 'I Rossoneri'?,Inter Milan,AC Milan,AS Roma,Wane kulob ne aka fi sani da 'I Rossoneri'?,Inter Milan,AC Milan,AS Roma,Kedụ klọb a maara dịka 'I Rossoneri'?,Inter Milan,AC Milan,AS Roma
Which Nigerian player played for Ajax and Arsenal?,Nwankwo Kanu,Jay-Jay Okocha,Finidi George,A,medium,Ẹgbẹ́ ọmọ orílẹ̀-èdè Nàìjíríà wo ló gbá bọ́ọ̀lù fún Ajax àti Arsenal?,Nwankwo Kanu,Jay-Jay Okocha,Finidi George,Wane ɗan wasan Najeriya ne ya buga wa Ajax da Arsenal wasa?,Nwankwo Kanu,Jay-Jay Okocha,Finidi George,Kedụ onye egwuregwu Naịjirịa gbara bọọlụ maka Ajax na Arsenal?,Nwankwo Kanu,Jay-Jay Okocha,Finidi George
How many goals did Erling Haaland score in his debut Premier League season?,32,36,40,B,medium,Àwọn góólù mélòó ni Erling Haaland gba ní àsìkò àkọ́kọ́ rẹ̀ ní Premier League?,32,36,40,Kwallaye nawa Erling Haaland ya ci a kakarsa ta farko a gasar Premier?,32,36,40,Erling Haaland nyere goolu ole n'oge mbụ ya na Premier League?,32,36,40
Which country hosted the 1990 FIFA World Cup?,Italy,USA,France,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ọdún 1990?,Italy,USA,France,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1990?,Italy,USA,France,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1990?,Italy,USA,France
Who scored the overhead kick goal for Real Madrid vs Juventus in 2018?,Karim Benzema,Gareth Bale,Cristiano Ronaldo,C,easy,Ta ló gba góólù orí òkè fún Real Madrid àti Juventus ní ọdún 2018?,Karim Benzema,Gareth Bale,Cristiano Ronaldo,Wa ya zura kwallon da ta kai ga bugun daga kai sai mai tsaron gida a wasan Real Madrid da Juventus a shekarar 2018?,Karim Benzema,Gareth Bale,Cristiano Ronaldo,Onye nyere goolu elu maka Real Madrid megide Juventus n'afọ 2018?,Karim Benzema,Gareth Bale,Cristiano Ronaldo
Which national team is Kylian Mbappe the captain of?,France,Belgium,Spain,A,easy,Ẹgbẹ́ orílẹ̀-èdè wo ni Kylian Mbappe jẹ́ olórí ẹgbẹ́ náà?,France,Belgium,Spain,Wace ƙungiyar ƙasa Kylian Mbappe ce kyaftin ɗinta?,France,Belgium,Spain,Kedụ otu egwuregwu mba Kylian Mbappe bụ onyeisi otu?,France,Belgium,Spain
Which Premier League club is David Silva most associated with?,Manchester City,Manchester United,Chelsea,A,easy,Ẹgbẹ́ Premier League wo ni David Silva ti ṣe àjọpọ̀ jùlọ pẹ̀lú?,Manchester City,Manchester United,Chelsea,Wace ƙungiyar Premier League ce David Silva ya fi sha'awarta?,Manchester City,Manchester United,Chelsea,Kedụ otu egwuregwu Premier League kacha amasị David Silva?,Manchester City,Manchester United,Chelsea
Which club is known as 'Los Blancos'?,Barcelona,Valencia,Real Madrid,C,easy,Ẹgbẹ́ wo ni a mọ̀ sí 'Los Blancos'?,Barcelona,Valencia,Real Madrid,Wace kungiya ce aka fi sani da 'Los Blancos'?,Barcelona,Valencia,Real Madrid,Kedụ klọb a maara dịka 'Los Blancos'?,Barcelona,Valencia,Real Madrid
What is the penalty spot distance from goal?,11 meters,12 meters,10 meters,A,easy,Kí ni ijinna aaye ikọlu si goolu?,11 meters,12 meters,10 meters,Menene nisan da aka samu daga bugun fenariti daga raga?,11 meters,12 meters,10 meters,Kedụ anya dị n'agbata goolu na penariti?,11 meters,12 meters,10 meters
What is the fastest red card in football history?,1 second,2 seconds,3 seconds,B,hard,Kí ni káàdì pupa tó yára jùlọ nínú ìtàn bọ́ọ̀lù?,1 second,2 seconds,3 seconds,Menene jan kati mafi sauri a tarihin ƙwallon ƙafa?,1 second,2 seconds,3 seconds,Kedu kaadị uhie kachasị ọsọ n'akụkọ bọọlụ?,1 second,2 seconds,3 seconds
Which country hosted the 1930 FIFA World Cup?,Uruguay,Italy,France,A,hard,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1930?,Uruguay,Italy,France,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1930?,Uruguay,Italy,France,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1930?,Uruguay,Italy,France
Which club did Mohamed Salah play for before Liverpool?,Chelsea,Roma,Fiorentina,B,medium,Ẹgbẹ́ wo ni Mohamed Salah gbá bọ́ọ̀lù fún kí Liverpool tó dé?,Chelsea,Roma,Fiorentina,Wace kungiya ce Mohamed Salah ya buga wa wasa kafin Liverpool?,Chelsea,Roma,Fiorentina,Kedụ klọb Mohamed Salah gbara bọọlụ tupu Liverpool?,Chelsea,Roma,Fiorentina
Which Premier League club is Eden Hazard most associated with?,Chelsea,Arsenal,Tottenham,A,easy,Ẹgbẹ́ Premier League wo ni Eden Hazard ti ṣe àfihàn jùlọ?,Chelsea,Arsenal,Tottenham,Wace ƙungiyar Premier League ce Eden Hazard ya fi sha'awarta?,Chelsea,Arsenal,Tottenham,Kedụ otu egwuregwu Premier League kacha amasị Eden Hazard?,Chelsea,Arsenal,Tottenham
Which club has won the most La Liga titles?,Barcelona,Real Madrid,Atletico Madrid,B,easy,Ẹgbẹ́ wo ló ti gba àwọn àmì-ẹ̀yẹ La Liga jùlọ?,Barcelona,Real Madrid,Atletico Madrid,Wace ƙungiya ce ta fi lashe gasar La Liga?,Barcelona,Real Madrid,Atletico Madrid,Kedụ klọb ndị meriri ọtụtụ iko La Liga?,Barcelona,Real Madrid,Atletico Madrid
How many goals did Cristiano Ronaldo score in the 2016-17 Champions League?,10,12,14,B,hard,Àwọn góólù mélòó ni Cristiano Ronaldo gbá ní ìdíje Champions League ti ọdún 2016-17?,10,12,14,Kwallaye nawa Cristiano Ronaldo ya ci a gasar zakarun Turai ta 2016-17?,10,12,14,Goolu ole ka Cristiano Ronaldo nyere n'asọmpi Champions League nke afọ 2016-17?,10,12,14
How long is a standard football match?,80 minutes,90 minutes,100 minutes,B,easy,Igba melo ni ere bọọlu afẹsẹgba deede yoo pẹ to?,80 minutes,90 minutes,100 minutes,Har yaushe ne wasan ƙwallon ƙafa na yau da kullun yake?,80 minutes,90 minutes,100 minutes,Ogologo oge ole ka egwuregwu bọọlụ nkịtị na-adị?,80 minutes,90 minutes,100 minutes
How many Serie A titles has Inter Milan won in total?,17,19,20,B,hard,Iye awọn ife-eye Serie A melo ni Inter Milan ti gba lapapọ?,17,19,20,Nawa ne jimillar kofunan Serie A Inter Milan ta lashe?,17,19,20,Kedụ ka Inter Milan meriri n'asọmpi Serie A ole?,17,19,20
Which country hosted the 1994 FIFA World Cup?,USA,France,South Korea/Japan,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 1994?,USA,France,South Korea/Japan,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 1994?,USA,France,South Korea/Japan,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 1994?,USA,France,South Korea/Japan
What is the home stadium of Wolves?,Molineux,Emirates Stadium,Stamford Bridge,A,medium,Kí ni pápá ìṣeré Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Menene filin wasan gida na Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Wolves dị?,Molineux,Emirates Stadium,Stamford Bridge
Which club does Jurgen Klopp currently or recently manage?,Liverpool,Manchester City,Arsenal,A,easy,Ẹgbẹ́ wo ni Jurgen Klopp ń ṣàkóso lọ́wọ́lọ́wọ́ tàbí láìpẹ́ yìí?,Liverpool,Manchester City,Arsenal,Wace ƙungiya Jurgen Klopp ke jagoranta a halin yanzu ko kwanan nan?,Liverpool,Manchester City,Arsenal,Kedụ klọb Jurgen Klopp na-achịkwa ugbu a ma ọ bụ n'oge na-adịbeghị anya?,Liverpool,Manchester City,Arsenal
Which country hosted the 2014 FIFA World Cup?,Brazil,Russia,Qatar,A,medium,Orílẹ̀-èdè wo ló gbàlejò ìdíje FIFA World Cup ti ọdún 2014?,Brazil,Russia,Qatar,Wace ƙasa ce ta karɓi baƙuncin gasar cin kofin duniya ta FIFA ta 2014?,Brazil,Russia,Qatar,Kedụ mba kwadoro iko mba ụwa nke FIFA nke afọ 2014?,Brazil,Russia,Qatar
What is the home stadium of Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,A,medium,Pápá ìṣeré wo ni Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,Menene filin wasan Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Fulham dị?,Craven Cottage,Emirates Stadium,Stamford Bridge
What is the home stadium of Chelsea?,Stamford Bridge,Emirates Stadium,Anfield,A,medium,Pápá ìṣeré Chelsea wo ni wọ́n ń pè ní ilé wọn?,Stamford Bridge,Emirates Stadium,Anfield,Menene filin wasan Chelsea na gida?,Stamford Bridge,Emirates Stadium,Anfield,Kedụ ebe egwuregwu Chelsea dị?,Stamford Bridge,Emirates Stadium,Anfield
Who holds the record for most assists in a single Premier League season?,Thierry Henry,Mesut Ozil,Kevin De Bruyne,C,medium,Ta ni o ni igbasilẹ fun ọpọlọpọ iranlọwọ ni akoko Premier League kan?,Thierry Henry,Mesut Ozil,Kevin De Bruyne,Wanene ke da tarihin yawan taimakawa a ci kwallo a kakar wasa daya ta Premier?,Thierry Henry,Mesut Ozil,Kevin De Bruyne,Ònye nwere ndekọ maka ọtụtụ enyemaka n'otu oge Premier League?,Thierry Henry,Mesut Ozil,Kevin De Bruyne
What color is the Liverpool home jersey?,Blue,Red,White,B,easy,Àwọ̀ wo ni aṣọ ìbora Liverpool?,Blue,Red,White,Wane launi ne rigar gida ta Liverpool?,Blue,Red,White,Kedu agba uwe elu ụlọ Liverpool dị?,Blue,Red,White
Who won the 2022 Ballon d'Or Feminin?,Alexia Putellas,Ada Hegerberg,Sam Kerr,A,medium,Ta ló gba ife ẹyẹ Ballon d'Or ti ọdún 2022?,Alexia Putellas,Ada Hegerberg,Sam Kerr,Wa ya lashe kyautar Ballon d'Or ta Feminine ta 2022?,Alexia Putellas,Ada Hegerberg,Sam Kerr,Ònye meriri n'asọmpi Ballon d'Or Feminin nke afọ 2022?,Alexia Putellas,Ada Hegerberg,Sam Kerr
Which country does Alisson Becker play for?,Argentina,Brazil,Colombia,B,medium,Orílẹ̀-èdè wo ni Alisson Becker ń gbá bọ́ọ̀lù fún?,Argentina,Brazil,Colombia,Wace ƙasa Alisson Becker yake bugawa wasa?,Argentina,Brazil,Colombia,Kedụ mba Alisson Becker na-egwuri egwu maka ya?,Argentina,Brazil,Colombia
Which club does Pedri currently play for?,Barcelona,Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Pedro ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Barcelona,Chelsea,Manchester United,Wace ƙungiya ce Pedro ke bugawa wasa a halin yanzu?,Barcelona,Chelsea,Manchester United,Kedụ klọb Pedro na-egwuri egwu ugbu a?,Barcelona,Chelsea,Manchester United
What does VAR stand for?,Video Assistant Referee,Virtual Analysis Review,Verified Action Replay,A,easy,Kí ni VAR dúró fún?,Video Assistant Referee,Virtual Analysis Review,Verified Action Replay,Menene ma'anar VAR?,Video Assistant Referee,Virtual Analysis Review,Verified Action Replay,Kedu ihe VAR pụtara?,Video Assistant Referee,Virtual Analysis Review,Verified Action Replay
Which club does Joao Felix currently play for?,Barcelona (loan),Chelsea,Manchester United,A,easy,Ẹgbẹ́ wo ni Joao Felix ń gbá bọ́ọ̀lù fún lọ́wọ́lọ́wọ́?,Barcelona (loan),Chelsea,Manchester United,Wace kungiya Joao Felix ke bugawa wasa a yanzu?,Barcelona (loan),Chelsea,Manchester United,Kedụ klọb Joao Felix na-egwuri egwu ugbu a?,Barcelona (loan),Chelsea,Manchester United
Which country does Bayern Munich play in?,Austria,Switzerland,Germany,C,medium,Orílẹ̀-èdè wo ni Bayern Munich ń gbá bọ́ọ̀lù?,Austria,Switzerland,Germany,Wace ƙasa ce Bayern Munich ke buga wasa a ciki?,Austria,Switzerland,Germany,Kedụ mba Bayern Munich na-egwu egwuregwu na ya?,Austria,Switzerland,Germany
Which national team is Luka Modric the captain of?,Croatia,Serbia,Slovenia,A,easy,Ẹgbẹ́ orílẹ̀-èdè wo ni Luka Modric jẹ́ olórí ẹgbẹ́ náà?,Croatia,Serbia,Slovenia,Wace ƙungiyar ƙasa ce Luka Modric ke jagoranta?,Croatia,Serbia,Slovenia,Kedụ otu mba bụ onyeisi otu Luka Modric?,Croatia,Serbia,Slovenia
Who holds the record for most goals in a single World Cup tournament?,Just Fontaine,Gerd Muller,Ronaldo,A,hard,Ta ni o ni igbasilẹ fun awọn góólù pupọ julọ ninu idije Ife Agbaye kan?,Just Fontaine,Gerd Muller,Ronaldo,Wa ke da tarihin yawan kwallaye a gasar cin kofin duniya?,Just Fontaine,Gerd Muller,Ronaldo,Ònye nwere ndekọ maka ọtụtụ goolu n'otu asọmpi iko mba ụwa?,Just Fontaine,Gerd Muller,Ronaldo
What was Arsenal's original name?,Dial Square,The Gunners,North London FC,A,medium,Kí ni orúkọ àtètèkọ́ṣe Arsenal?,Dial Square,The Gunners,North London FC,Menene sunan Arsenal na asali?,Dial Square,The Gunners,North London FC,Gịnị bụ aha mbụ Arsenal?,Dial Square,The Gunners,North London FC
What is the record for most goals in a single La Liga season?,50,46,55,A,hard,Kí ni àkọsílẹ̀ tó wà fún àwọn góólù tó pọ̀ jùlọ ní àsìkò La Liga kan?,50,46,55,Menene tarihin yawan kwallaye da aka ci a kakar wasa daya ta La Liga?,50,46,55,Kedụ ihe ndekọ maka ọtụtụ goolu n'otu oge La Liga?,50,46,55
Which city is FC Barcelona located in?,Madrid,Barcelona,Valencia,B,medium,Ìlú wo ni FC Barcelona wà?,Madrid,Barcelona,Valencia,A wane birni ne FC Barcelona take?,Madrid,Barcelona,Valencia,Kedụ obodo FC Barcelona dị?,Madrid,Barcelona,Valencia
Which Premier League club is Luis Suarez most associated with?,Liverpool,Chelsea,Manchester City,A,easy,Ẹgbẹ́ Premier League wo ni Luis Suarez ti ṣe àfihàn jùlọ?,Liverpool,Chelsea,Manchester City,Wace ƙungiyar Premier League ce Luis Suarez ya fi sha'awarta?,Liverpool,Chelsea,Manchester City,Kedụ otu egwuregwu Premier League kacha amasị Luis Suarez?,Liverpool,Chelsea,Manchester City
Who won the Serie A Golden Boot in 2022-23?,Victor Osimhen,Lautaro Martinez,Dusan Vlahovic,A,medium,Ta ló gba àmì-ẹ̀yẹ wúrà Serie A ní ọdún 2022-23?,Victor Osimhen,Lautaro Martinez,Dusan Vlahovic,Wa ya lashe kyautar takalmin zinare ta Serie A a shekarar 2022-23?,Victor Osimhen,Lautaro Martinez,Dusan Vlahovic,Onye meriri akpụkpọ ụkwụ ọlaedo nke Serie A n'afọ 2022-23?,Victor Osimhen,Lautaro Martinez,Dusan Vlahovic
What is the nickname of Juventus?,The Old Lady,The Black and Whites,I Bianconeri,A,medium,Kí ni orúkọ àpèlé Juventus?,The Old Lady,The Black and Whites,I Bianconeri,Menene sunan barkwanci na Juventus?,The Old Lady,The Black and Whites,I Bianconeri,Gịnị bụ aha a kpọrọ Juventus?,The Old Lady,The Black and Whites,I Bianconeri
Which club does Thomas Tuchel currently or recently manage?,Bayern Munich,PSG,Chelsea,A,easy,Ẹgbẹ́ wo ni Thomas Tuchel ń ṣàkóso lọ́wọ́lọ́wọ́ tàbí láìpẹ́ yìí?,Bayern Munich,PSG,Chelsea,Wace ƙungiya Thomas Tuchel ke jagoranta a halin yanzu ko kwanan nan?,Bayern Munich,PSG,Chelsea,Kedụ klọb Thomas Tuchel na-achịkwa ugbu a ma ọ bụ n'oge na-adịbeghị anya?,Bayern Munich,PSG,Chelsea
Which national team is Harry Kane the captain of?,England,Scotland,Wales,A,easy,Ẹgbẹ́ orílẹ̀-èdè wo ni Harry Kane jẹ́ olórí ẹgbẹ́ náà?,England,Scotland,Wales,Wace ƙungiyar ƙasa ce Harry Kane ke jagoranta?,England,Scotland,Wales,Kedụ otu egwuregwu mba Harry Kane bụ onyeisi ha?,England,Scotland,Wales
In which year was Real Madrid founded?,1902,1895,1910,A,medium,Ní ọdún wo ni wọ́n dá Real Madrid sílẹ̀?,1902,1895,1910,A wace shekara aka kafa Real Madrid?,1902,1895,1910,N'afọ ole ka e hiwere Real Madrid?,1902,1895,1910
What was Cristiano Ronaldo's transfer fee from Manchester United to Real Madrid?,80 million pounds,60 million pounds,100 million pounds,A,medium,Kí ni owó tí Cristiano Ronaldo gbà láti Manchester United sí Real Madrid?,80 million pounds,60 million pounds,100 million pounds,Nawa ne kudin canja wurin Cristiano Ronaldo daga Manchester United zuwa Real Madrid?,80 million pounds,60 million pounds,100 million pounds,Ego ole ka Cristiano Ronaldo ji si Manchester United gaa Real Madrid?,80 million pounds,60 million pounds,100 million pounds
In which year was Manchester United founded?,1878,1892,1905,A,medium,Ní ọdún wo ni wọ́n dá Manchester United sílẹ̀?,1878,1892,1905,A wace shekara aka kafa Manchester United?,1878,1892,1905,N'afọ ole ka e hiwere Manchester United?,1878,1892,1905
What number did Ronaldinho wear at Barcelona?,10,11,21,A,easy,Nọ́mbà wo ni Ronaldinho wọ̀ ní Barcelona?,10,11,21,Wace lamba Ronaldinho ya saka a Barcelona?,10,11,21,Kedu nọmba Ronaldinho yi na Barcelona?,10,11,21
