questionText,optionA,optionB,optionC,correctAnswer,difficulty,questionTextYoruba,optionAYoruba,optionBYoruba,optionCYoruba,questionTextHausa,optionAHausa,optionBHausa,optionCHausa,questionTextIgbo,optionAIgbo,optionBIgbo,optionCIgbo
Who won the 2010 FIFA World Cup?,Spain,Brazil,Germany,A,medium,Ta ló gba ife àgbáyé FIFA ti ?dún 2010?,Spain,Brazil,Germany,Wa ya lashe gasar cin kofin duniya ta FIFA ta 2010?,Spain,Brazil,Germany,Ònye meriri iko mba ?wa nke FIFA nke af? 2010?,Spain,Brazil,Germany
Who won the 2014 FIFA World Cup?,Germany,Brazil,Italy,A,medium,Ta ló gba ife àgbáyé FIFA ti ?dún 2014?,Germany,Brazil,Italy,Wa ya lashe gasar cin kofin duniya ta FIFA ta 2014?,Germany,Brazil,Italy,Ònye meriri iko mba ?wa nke FIFA nke af? 2014?,Germany,Brazil,Italy
Who won the 2018 FIFA World Cup?,France,Brazil,Germany,A,medium,Ta ló gba ife-?y? agbaye FIFA ti ?dun 2018?,France,Brazil,Germany,Wa ya lashe gasar cin kofin duniya ta FIFA ta 2018?,France,Brazil,Germany,Ònye meriri iko mba ?wa nke FIFA nke af? 2018?,France,Brazil,Germany
Who won the 2022 FIFA World Cup?,Argentina,Brazil,Germany,A,medium,Ta ló gba ife àgbáyé FIFA ti ?dún 2022?,Argentina,Brazil,Germany,Wa ya lashe gasar cin kofin duniya ta FIFA ta 2022?,Argentina,Brazil,Germany,Ònye meriri iko mba ?wa FIFA nke af? 2022?,Argentina,Brazil,Germany
What is the home stadium of Arsenal?,Emirates Stadium,Stamford Bridge,Anfield,A,medium,Pápá ì?eré Arsenal wo ni?,Emirates Stadium,Stamford Bridge,Anfield,Menene filin wasan Arsenal na gida?,Emirates Stadium,Stamford Bridge,Anfield,Ked? ebe egwuregwu Arsenal d??,Emirates Stadium,Stamford Bridge,Anfield
What is Arsenal's nickname?,The Gunners,The Blues,The Reds,A,medium,Kí ni orúk? àpèlé Arsenal?,The Gunners,The Blues,The Reds,Menene sunan barkwanci na Arsenal?,The Gunners,The Blues,The Reds,G?n? b? aha otutu Arsenal?,The Gunners,The Blues,The Reds
What is the home stadium of Chelsea?,Stamford Bridge,Emirates Stadium,Anfield,A,medium,Pápá ì?eré Chelsea wo ni w??n ? pè ní ilé w?n?,Stamford Bridge,Emirates Stadium,Anfield,Menene filin wasan Chelsea na gida?,Stamford Bridge,Emirates Stadium,Anfield,Ked? ebe egwuregwu Chelsea d??,Stamford Bridge,Emirates Stadium,Anfield
What is Chelsea's nickname?,The Blues,The Gunners,The Reds,A,medium,Kí ni orúk? àpèlé Chelsea?,The Blues,The Gunners,The Reds,Menene sunan barkwanci na Chelsea?,The Blues,The Gunners,The Reds,G?n? b? aha otutu Chelsea?,The Blues,The Gunners,The Reds
What is the home stadium of Liverpool?,Anfield,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Liverpool wo ni?,Anfield,Emirates Stadium,Stamford Bridge,Menene filin wasan Liverpool na gida?,Anfield,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Liverpool d??,Anfield,Emirates Stadium,Stamford Bridge
What is Liverpool's nickname?,The Reds,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Liverpool?,The Reds,The Gunners,The Blues,Menene sunan barkwanci na Liverpool?,The Reds,The Gunners,The Blues,G?n? b? aha otutu Liverpool?,The Reds,The Gunners,The Blues
What is the home stadium of Manchester City?,Etihad Stadium,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré ìlú Manchester City wo ni?,Etihad Stadium,Emirates Stadium,Stamford Bridge,Menene filin wasan Manchester City na gida?,Etihad Stadium,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Manchester City d??,Etihad Stadium,Emirates Stadium,Stamford Bridge
What is Manchester City's nickname?,The Citizens,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Manchester City?,The Citizens,The Gunners,The Blues,Menene sunan barkwanci na Manchester City?,The Citizens,The Gunners,The Blues,G?n? b? aha otutu Manchester City?,The Citizens,The Gunners,The Blues
What is the home stadium of Manchester United?,Old Trafford,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Manchester United wo ni w??n ? pè ní ilé w?n?,Old Trafford,Emirates Stadium,Stamford Bridge,Menene filin wasan Manchester United na gida?,Old Trafford,Emirates Stadium,Stamford Bridge,Ked? ebe egwuregwu Manchester United d??,Old Trafford,Emirates Stadium,Stamford Bridge
What is Manchester United's nickname?,The Red Devils,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Manchester United?,The Red Devils,The Gunners,The Blues,Menene sunan barkwanci na Manchester United?,The Red Devils,The Gunners,The Blues,G?n? b? aha otutu Manchester United?,The Red Devils,The Gunners,The Blues
What is the home stadium of Tottenham?,Tottenham Hotspur Stadium,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré ilé Tottenham wo ni?,Tottenham Hotspur Stadium,Emirates Stadium,Stamford Bridge,Menene filin wasan Tottenham na gida?,Tottenham Hotspur Stadium,Emirates Stadium,Stamford Bridge,Ked? ebe egwuregwu Tottenham d??,Tottenham Hotspur Stadium,Emirates Stadium,Stamford Bridge
What is Tottenham's nickname?,Spurs,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Tottenham?,Spurs,The Gunners,The Blues,Menene sunan barkwanci na Tottenham?,Spurs,The Gunners,The Blues,G?n? b? aha njirimara Tottenham?,Spurs,The Gunners,The Blues
What is the home stadium of Newcastle?,St James' Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré ìlú Newcastle wo ni?,St James' Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Newcastle na gida?,St James' Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Newcastle d??,St James' Park,Emirates Stadium,Stamford Bridge
What is Newcastle's nickname?,The Magpies,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Newcastle?,The Magpies,The Gunners,The Blues,Menene sunan barkwanci na Newcastle?,The Magpies,The Gunners,The Blues,G?n? b? aha otutu Newcastle?,The Magpies,The Gunners,The Blues
What is the home stadium of Aston Villa?,Villa Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Aston Villa wo ni?,Villa Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Aston Villa na gida?,Villa Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Aston Villa d??,Villa Park,Emirates Stadium,Stamford Bridge
What is Aston Villa's nickname?,The Villans,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Aston Villa?,The Villans,The Gunners,The Blues,Menene sunan barkwanci na Aston Villa?,The Villans,The Gunners,The Blues,G?n? b? aha otutu Aston Villa?,The Villans,The Gunners,The Blues
What is the home stadium of West Ham?,London Stadium,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré West Ham wo ni w??n ? pè ní Pápá ì?eré?,London Stadium,Emirates Stadium,Stamford Bridge,Menene filin wasan West Ham na gida?,London Stadium,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu West Ham d??,London Stadium,Emirates Stadium,Stamford Bridge
What is West Ham's nickname?,The Hammers,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé West Ham?,The Hammers,The Gunners,The Blues,Menene sunan barkwanci na West Ham?,The Hammers,The Gunners,The Blues,G?n? b? aha otutu West Ham?,The Hammers,The Gunners,The Blues
What is the home stadium of Brighton?,Amex Stadium,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré wo ni Brighton?,Amex Stadium,Emirates Stadium,Stamford Bridge,Menene filin wasan gida na Brighton?,Amex Stadium,Emirates Stadium,Stamford Bridge,Kedu ámá egwuregwu Brighton?,Amex Stadium,Emirates Stadium,Stamford Bridge
What is Brighton's nickname?,The Seagulls,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Brighton?,The Seagulls,The Gunners,The Blues,Menene sunan barkwanci na Brighton?,The Seagulls,The Gunners,The Blues,G?n? b? aha njirimara Brighton?,The Seagulls,The Gunners,The Blues
What is the home stadium of Everton?,Goodison Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Everton wo ni w??n ? pè ní ilé w?n?,Goodison Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Everton na gida?,Goodison Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Everton d??,Goodison Park,Emirates Stadium,Stamford Bridge
What is Everton's nickname?,The Toffees,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Everton?,The Toffees,The Gunners,The Blues,Menene sunan barkwanci na Everton?,The Toffees,The Gunners,The Blues,G?n? b? aha otutu Everton?,The Toffees,The Gunners,The Blues
What is the home stadium of Leicester City?,King Power Stadium,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Leicester City wo ni w??n ? pè ní ilé w?n?,King Power Stadium,Emirates Stadium,Stamford Bridge,Menene filin wasan Leicester City na gida?,King Power Stadium,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Leicester City d??,King Power Stadium,Emirates Stadium,Stamford Bridge
What is Leicester City's nickname?,The Foxes,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Leicester City?,The Foxes,The Gunners,The Blues,Menene sunan barkwanci na Leicester City?,The Foxes,The Gunners,The Blues,G?n? b? aha otutu Leicester City?,The Foxes,The Gunners,The Blues
What is the home stadium of Wolves?,Molineux,Emirates Stadium,Stamford Bridge,A,medium,Kí ni pápá ì?eré Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Menene filin wasan gida na Wolves?,Molineux,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Wolves d??,Molineux,Emirates Stadium,Stamford Bridge
What is Wolves's nickname?,Wolves,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Wolves?,Wolves,The Gunners,The Blues,Menene sunan barkwancin Wolves?,Wolves,The Gunners,The Blues,G?n? b? aha otutu Wolves?,Wolves,The Gunners,The Blues
What is the home stadium of Crystal Palace?,Selhurst Park,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré Crystal Palace wo ni w??n ? pè ní ilé w?n?,Selhurst Park,Emirates Stadium,Stamford Bridge,Menene filin wasan Crystal Palace na gida?,Selhurst Park,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Crystal Palace d??,Selhurst Park,Emirates Stadium,Stamford Bridge
What is Crystal Palace's nickname?,The Eagles,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Crystal Palace?,The Eagles,The Gunners,The Blues,Menene sunan barkwanci na Crystal Palace?,The Eagles,The Gunners,The Blues,G?n? b? aha otutu Crystal Palace?,The Eagles,The Gunners,The Blues
What is the home stadium of Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,A,medium,Pápá ì?eré wo ni Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,Menene filin wasan Fulham?,Craven Cottage,Emirates Stadium,Stamford Bridge,Kedu ebe egwuregwu Fulham d??,Craven Cottage,Emirates Stadium,Stamford Bridge
What is Fulham's nickname?,The Cottagers,The Gunners,The Blues,A,medium,Kí ni orúk? àpèlé Fulham?,The Cottagers,The Gunners,The Blues,Menene sunan barkwanci na Fulham?,The Cottagers,The Gunners,The Blues,G?n? b? aha otutu Fulham?,The Cottagers,The Gunners,The Blues
Which country does Lionel Messi represent?,Argentina,Brazil,France,A,easy,Oríl??-èdè wo ni Lionel Messi ? ?ojú fún?,Argentina,Brazil,France,Wace ?asa Lionel Messi yake wakilta?,Argentina,Brazil,France,Ked? mba Lionel Messi n?chitere anya ya?,Argentina,Brazil,France
What position does Lionel Messi play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Lionel Messi n gba?,Forward,Midfielder,Defender,Wane matsayi Lionel Messi ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Lionel Messi na-ar??,Forward,Midfielder,Defender
Which country does Cristiano Ronaldo represent?,Portugal,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Cristiano Ronaldo ? ?ojú fún?,Portugal,Argentina,Brazil,Wace ?asa ce Cristiano Ronaldo ke wakilta?,Portugal,Argentina,Brazil,Ked? mba Cristiano Ronaldo n?chitere anya ya?,Portugal,Argentina,Brazil
What position does Cristiano Ronaldo play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Cristiano Ronaldo n gba?,Forward,Midfielder,Defender,Wane matsayi Cristiano Ronaldo ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Cristiano Ronaldo na-ar??,Forward,Midfielder,Defender
Which country does Kylian Mbappe represent?,France,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Kylian Mbappe dúró fún?,France,Argentina,Brazil,Wace ?asa Kylian Mbappe ke wakilta?,France,Argentina,Brazil,Ked? mba Kylian Mbappe n?chitere anya ya?,France,Argentina,Brazil
What position does Kylian Mbappe play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Kylian Mbappe n gba?,Forward,Midfielder,Defender,Wane matsayi Kylian Mbappe ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Kylian Mbappe na-egwu?,Forward,Midfielder,Defender
Which country does Erling Haaland represent?,Norway,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Erling Haaland dúró fún?,Norway,Argentina,Brazil,Wace ?asa ce Erling Haaland ke wakilta?,Norway,Argentina,Brazil,Ked? mba Erling Haaland n?chitere anya ya?,Norway,Argentina,Brazil
What position does Erling Haaland play?,Striker,Forward,Midfielder,A,easy,Ipò wo ni Erling Haaland ? kó?,Striker,Forward,Midfielder,Wane matsayi Erling Haaland ke taka leda?,Striker,Forward,Midfielder,Ked? ?n?d? Erling Haaland na-egwu?,Striker,Forward,Midfielder
Which country does Kevin De Bruyne represent?,Belgium,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Kevin De Bruyne dúró fún?,Belgium,Argentina,Brazil,Wace ?asa Kevin De Bruyne yake wakilta?,Belgium,Argentina,Brazil,Ked? mba Kevin De Bruyne na-an?chite anya?,Belgium,Argentina,Brazil
What position does Kevin De Bruyne play?,Midfielder,Forward,Defender,A,easy,Ipo wo ni Kevin De Bruyne n gba?,Midfielder,Forward,Defender,Wane matsayi Kevin De Bruyne ke taka leda?,Midfielder,Forward,Defender,Ked? ?n?d? Kevin De Bruyne na-ar??,Midfielder,Forward,Defender
Which country does Mohamed Salah represent?,Egypt,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Mohamed Salah dúró fún?,Egypt,Argentina,Brazil,Wace ?asa ce Mohamed Salah ke wakilta?,Egypt,Argentina,Brazil,Ked? mba Mohamed Salah n?chitere anya ya?,Egypt,Argentina,Brazil
What position does Mohamed Salah play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Mohamed Salah n gba?,Forward,Midfielder,Defender,Wane matsayi ne Mohamed Salah ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Mohamed Salah na-ar??,Forward,Midfielder,Defender
Which country does Vinicius Jr represent?,Brazil,Argentina,France,A,easy,Oríl??-èdè wo ni Vinicius Jr dúró fún?,Brazil,Argentina,France,Wace ?asa ce Vinicius Jr ke wakilta?,Brazil,Argentina,France,Ked? mba Vinicius Jr n?chitere anya ya?,Brazil,Argentina,France
What position does Vinicius Jr play?,Winger,Forward,Midfielder,A,easy,Ipò wo ni Vinicius Jr. ? kó?,Winger,Forward,Midfielder,Wane matsayi Vinicius Jr yake taka leda?,Winger,Forward,Midfielder,Ked? ?n?d? Vinicius Jr. na-egwu?,Winger,Forward,Midfielder
Which country does Jude Bellingham represent?,England,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Jude Bellingham dúró fún?,England,Argentina,Brazil,Wace ?asa ce Jude Bellingham ke wakilta?,England,Argentina,Brazil,Olee mba Jude Bellingham na-an?chite anya?,England,Argentina,Brazil
What position does Jude Bellingham play?,Midfielder,Forward,Defender,A,easy,Ipò wo ni Jude Bellingham kó?,Midfielder,Forward,Defender,Wane matsayi Jude Bellingham ke taka leda?,Midfielder,Forward,Defender,Ked? ?n?d? Jude Bellingham na-ar??,Midfielder,Forward,Defender
Which country does Bukayo Saka represent?,England,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Bukayo Saka dúró fún?,England,Argentina,Brazil,Wace ?asa ce Bukayo Saka ke wakilta?,England,Argentina,Brazil,Ked? mba Bukayo Saka na-an?chite anya ya?,England,Argentina,Brazil
What position does Bukayo Saka play?,Winger,Forward,Midfielder,A,easy,Ipo wo ni Bukayo Saka ?i???,Winger,Forward,Midfielder,Wane matsayi Bukayo Saka ya taka?,Winger,Forward,Midfielder,Kedu ?n?d? Bukayo Saka na-egwu?,Winger,Forward,Midfielder
Which country does Harry Kane represent?,England,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Harry Kane dúró fún?,England,Argentina,Brazil,Wace ?asa Harry Kane yake wakilta?,England,Argentina,Brazil,Ked? mba Harry Kane n?chitere anya ya?,England,Argentina,Brazil
What position does Harry Kane play?,Striker,Forward,Midfielder,A,easy,Ipò wo ni Harry Kane kó?,Striker,Forward,Midfielder,Wane matsayi Harry Kane ke taka leda?,Striker,Forward,Midfielder,Ked? ?n?d? Harry Kane na-ar??,Striker,Forward,Midfielder
Which country does Robert Lewandowski represent?,Poland,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Robert Lewandowski dúró fún?,Poland,Argentina,Brazil,Wace ?asa ce Robert Lewandowski yake wakilta?,Poland,Argentina,Brazil,Ked? mba Robert Lewandowski na-an?chite anya?,Poland,Argentina,Brazil
What position does Robert Lewandowski play?,Striker,Forward,Midfielder,A,easy,Ipo wo ni Robert Lewandowski n gba?,Striker,Forward,Midfielder,Wane matsayi Robert Lewandowski ke taka leda?,Striker,Forward,Midfielder,Ked? ?n?d? Robert Lewandowski na-ar??,Striker,Forward,Midfielder
Which country does Neymar represent?,Brazil,Argentina,France,A,easy,Oríl??-èdè wo ni Neymar ? ?ojú fún?,Brazil,Argentina,France,Wace ?asa ce Neymar ke wakilta?,Brazil,Argentina,France,Ked? mba Neymar n?chitere anya?,Brazil,Argentina,France
What position does Neymar play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Neymar n gba?,Forward,Midfielder,Defender,Wane matsayi Neymar ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Neymar na-egwu?,Forward,Midfielder,Defender
Which country does Luka Modric represent?,Croatia,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Luka Modric ? ?ojú fún?,Croatia,Argentina,Brazil,Wace ?asa Luka Modric yake wakilta?,Croatia,Argentina,Brazil,Ked? mba Luka Modric n?chitere anya ya?,Croatia,Argentina,Brazil
What position does Luka Modric play?,Midfielder,Forward,Defender,A,easy,Ipo wo ni Luka Modric n gba?,Midfielder,Forward,Defender,Wane matsayi Luka Modric ke taka leda?,Midfielder,Forward,Defender,Ked? ?n?d? Luka Modric na-ar??,Midfielder,Forward,Defender
Which country does Karim Benzema represent?,France,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Karim Benzema dúró fún?,France,Argentina,Brazil,Wace ?asa Karim Benzema yake wakilta?,France,Argentina,Brazil,Ked? mba Karim Benzema na-an?chite anya?,France,Argentina,Brazil
What position does Karim Benzema play?,Striker,Forward,Midfielder,A,easy,Ipo wo ni Karim Benzema n gba?,Striker,Forward,Midfielder,Wane matsayi Karim Benzema ke taka leda?,Striker,Forward,Midfielder,Ked? ?n?d? Karim Benzema na-ar??,Striker,Forward,Midfielder
Which country does Sadio Mane represent?,Senegal,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Sadio Mane dúró fún?,Senegal,Argentina,Brazil,Wace ?asa Sadio Mane yake wakilta?,Senegal,Argentina,Brazil,Ked? mba Sadio Mane n?chitere anya ya?,Senegal,Argentina,Brazil
What position does Sadio Mane play?,Forward,Midfielder,Defender,A,easy,Ipo wo ni Sadio Mane n gba?,Forward,Midfielder,Defender,Wane matsayi Sadio Mane ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Sadio Mane na-egwu?,Forward,Midfielder,Defender
Which country does Son Heung-min represent?,South Korea,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Son Heung-min dúró fún?,South Korea,Argentina,Brazil,Wace ?asa Son Heung-min yake wakilta?,South Korea,Argentina,Brazil,Ked? obodo Son Heung-min na-an?chite anya?,South Korea,Argentina,Brazil
What position does Son Heung-min play?,Forward,Midfielder,Defender,A,easy,Ipò wo ni Son Heung-min ? kó?,Forward,Midfielder,Defender,Wane matsayi Son Heung-min ke taka leda?,Forward,Midfielder,Defender,Ked? ?n?d? Son Heung-min na-ar??,Forward,Midfielder,Defender
Which country does Virgil van Dijk represent?,Netherlands,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Virgil van Dijk ? ?ojú fún?,Netherlands,Argentina,Brazil,Wace ?asa Virgil van Dijk yake wakilta?,Netherlands,Argentina,Brazil,Ked? mba Virgil van Dijk na-an?chite anya?,Netherlands,Argentina,Brazil
What position does Virgil van Dijk play?,Defender,Forward,Midfielder,A,easy,Ipò wo ni Virgil van Dijk ? kó?,Defender,Forward,Midfielder,Wane matsayi Virgil van Dijk ke taka leda?,Defender,Forward,Midfielder,Ked? ?n?d? Virgil van Dijk na-ar??,Defender,Forward,Midfielder
Which country does Thibaut Courtois represent?,Belgium,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Thibaut Courtois dúró fún?,Belgium,Argentina,Brazil,Wace ?asa Thibaut Courtois yake wakilta?,Belgium,Argentina,Brazil,Ked? mba Thibaut Courtois na-an?chite anya?,Belgium,Argentina,Brazil
What position does Thibaut Courtois play?,Goalkeeper,Forward,Midfielder,A,easy,Ipò wo ni Thibaut Courtois ? kó?,Goalkeeper,Forward,Midfielder,Wane matsayi Thibaut Courtois ke taka leda?,Goalkeeper,Forward,Midfielder,Ked? ?n?d? Thibaut Courtois na-ar??,Goalkeeper,Forward,Midfielder
Which country does Alisson represent?,Brazil,Argentina,France,A,easy,Oríl??-èdè wo ni Alisson dúró fún?,Brazil,Argentina,France,Wace ?asa Alisson yake wakilta?,Brazil,Argentina,France,Ked? mba Alisson na-an?chite anya?,Brazil,Argentina,France
What position does Alisson play?,Goalkeeper,Forward,Midfielder,A,easy,Ipò wo ni Alisson ? kó?,Goalkeeper,Forward,Midfielder,Wane matsayi Alisson ke taka leda?,Goalkeeper,Forward,Midfielder,Ked? ?n?d? Alisson na-egwu?,Goalkeeper,Forward,Midfielder
Which country does Rodri represent?,Spain,Argentina,Brazil,A,easy,Oríl??-èdè wo ni Rodri dúró fún?,Spain,Argentina,Brazil,Wace ?asa Rodri yake wakilta?,Spain,Argentina,Brazil,Olee mba Rodri na-an?chite anya?,Spain,Argentina,Brazil
What position does Rodri play?,Midfielder,Forward,Defender,A,easy,Ipò wo ni Rodri ? kó?,Midfielder,Forward,Defender,Wane matsayi Rodri ke taka leda?,Midfielder,Forward,Defender,Ked? ?n?d? Rodri na-ar??,Midfielder,Forward,Defender
What is the home stadium of Real Madrid?,Santiago Bernabeu,Camp Nou,Wanda Metropolitano,A,medium,Pápá ì?eré wo ni Real Madrid?,Santiago Bernabeu,Camp Nou,Wanda Metropolitano,Menene filin wasan Real Madrid na gida?,Santiago Bernabeu,Camp Nou,Wanda Metropolitano,Kedu ebe egwuregwu Real Madrid d??,Santiago Bernabeu,Camp Nou,Wanda Metropolitano
What is the home stadium of Barcelona?,Camp Nou,Santiago Bernabeu,Wanda Metropolitano,A,medium,Pápá ì?eré Barcelona wo ni?,Camp Nou,Santiago Bernabeu,Wanda Metropolitano,Menene filin wasan Barcelona na gida?,Camp Nou,Santiago Bernabeu,Wanda Metropolitano,Kedu ebe egwuregwu Barcelona d??,Camp Nou,Santiago Bernabeu,Wanda Metropolitano
What is the home stadium of Atletico Madrid?,Wanda Metropolitano,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré Atletico Madrid wo ni?,Wanda Metropolitano,Santiago Bernabeu,Camp Nou,Menene filin wasan Atletico Madrid na gida?,Wanda Metropolitano,Santiago Bernabeu,Camp Nou,Ked? ebe egwuregwu Atletico Madrid d??,Wanda Metropolitano,Santiago Bernabeu,Camp Nou
What is the home stadium of Sevilla?,Ramon Sanchez Pizjuan,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré wo ni ìlú Sevilla?,Ramon Sanchez Pizjuan,Santiago Bernabeu,Camp Nou,Menene filin wasan gida na Sevilla?,Ramon Sanchez Pizjuan,Santiago Bernabeu,Camp Nou,Kedu ebe egwuregwu Sevilla d??,Ramon Sanchez Pizjuan,Santiago Bernabeu,Camp Nou
What is the home stadium of Real Sociedad?,Anoeta,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré ilé Real Sociedad ni?,Anoeta,Santiago Bernabeu,Camp Nou,Menene filin wasan Real Sociedad?,Anoeta,Santiago Bernabeu,Camp Nou,Kedu ebe egwuregwu Real Sociedad d??,Anoeta,Santiago Bernabeu,Camp Nou
What is the home stadium of Real Betis?,Benito Villamarin,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré ilé Real Betis wo ni?,Benito Villamarin,Santiago Bernabeu,Camp Nou,Menene filin wasan Real Betis?,Benito Villamarin,Santiago Bernabeu,Camp Nou,Kedu ebe egwuregwu Real Betis d??,Benito Villamarin,Santiago Bernabeu,Camp Nou
What is the home stadium of Villarreal?,Estadio de la Ceramica,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré wo ni Villarreal?,Estadio de la Ceramica,Santiago Bernabeu,Camp Nou,Menene filin wasan gida na Villarreal?,Estadio de la Ceramica,Santiago Bernabeu,Camp Nou,Kedu ebe egwuregwu Villarreal d??,Estadio de la Ceramica,Santiago Bernabeu,Camp Nou
What is the home stadium of Athletic Bilbao?,San Mames,Santiago Bernabeu,Camp Nou,A,medium,Pápá ì?eré Athletic Bilbao wo ni ilé w?n?,San Mames,Santiago Bernabeu,Camp Nou,Menene filin wasan Athletic Bilbao na gida?,San Mames,Santiago Bernabeu,Camp Nou,Kedu ebe egwuregwu Athletic Bilbao d??,San Mames,Santiago Bernabeu,Camp Nou
In which city is Juventus based?,Turin,Milan,Rome,A,medium,Ìlú wo ni Juventus ti wà?,Turin,Milan,Rome,A wane birni ne cibiyar Juventus take?,Turin,Milan,Rome,Olee obodo Juventus bi?,Turin,Milan,Rome
In which city is AC Milan based?,Milan,Turin,Rome,A,medium,Ìlú wo ni AC Milan ti wà?,Milan,Turin,Rome,A wane birni ne cibiyar AC Milan take?,Milan,Turin,Rome,Ked? obodo AC Milan d??,Milan,Turin,Rome
In which city is Inter Milan based?,Milan,Turin,Rome,A,medium,Ìlú wo ni Inter Milan ti wa?,Milan,Turin,Rome,A wane birni ne cibiyar Inter Milan take?,Milan,Turin,Rome,Olee obodo Inter Milan d??,Milan,Turin,Rome
In which city is Napoli based?,Naples,Milan,Rome,A,medium,Ìlú wo ni Napoli ti wà?,Naples,Milan,Rome,A wane birni ne Napoli take da zama?,Naples,Milan,Rome,Olee obodo Napoli d??,Naples,Milan,Rome
In which city is Roma based?,Rome,Milan,Naples,A,medium,Ìlú wo ni àw?n ará Róòmù ? gbé?,Rome,Milan,Naples,A wane birni ne Romawa ke da zama?,Rome,Milan,Naples,Olee obodo nd? Rom bi?,Rome,Milan,Naples
In which city is Lazio based?,Rome,Milan,Naples,A,medium,Ìlú wo ni Lazio wà?,Rome,Milan,Naples,A wane birni ne Lazio take?,Rome,Milan,Naples,Olee obodo Lazio d??,Rome,Milan,Naples
In which city is Fiorentina based?,Florence,Milan,Rome,A,medium,Ìlú wo ni Fiorentina wà?,Florence,Milan,Rome,A wane birni ne Fiorentina take?,Florence,Milan,Rome,Olee obodo Fiorentina bi?,Florence,Milan,Rome
